"filename", "language", "JavaScript", "PHP", "Markdown", "CSS", "JSON", "XML", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\surtido_cf\resources\views\profile\edit.blade.php", "PHP", 0, 26, 0, 0, 0, 0, 0, 0, 4, 30
"c:\xampp\htdocs\surtido_cf\resources\views\profile\partials\delete-user-form.blade.php", "PHP", 0, 45, 0, 0, 0, 0, 0, 0, 11, 56
"c:\xampp\htdocs\surtido_cf\resources\views\profile\partials\update-password-form.blade.php", "PHP", 0, 41, 0, 0, 0, 0, 0, 0, 8, 49
"c:\xampp\htdocs\surtido_cf\resources\views\profile\partials\update-profile-information-form.blade.php", "PHP", 0, 54, 0, 0, 0, 0, 0, 0, 11, 65
"c:\xampp\htdocs\surtido_cf\resources\views\welcome.blade.php", "PHP", 0, 151, 0, 0, 0, 0, 0, 0, 22, 173
"c:\xampp\htdocs\surtido_cf\routes\auth.php", "PHP", 0, 43, 0, 0, 0, 0, 0, 0, 17, 60
"c:\xampp\htdocs\surtido_cf\routes\console.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 3, 9
"c:\xampp\htdocs\surtido_cf\routes\web.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 1, 8, 32
"c:\xampp\htdocs\surtido_cf\tailwind.config.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 1, 4, 22
"c:\xampp\htdocs\surtido_cf\tests\Feature\Auth\AuthenticationTest.php", "PHP", 0, 40, 0, 0, 0, 0, 0, 0, 15, 55
"c:\xampp\htdocs\surtido_cf\tests\Feature\Auth\EmailVerificationTest.php", "PHP", 0, 43, 0, 0, 0, 0, 0, 0, 16, 59
"c:\xampp\htdocs\surtido_cf\tests\Feature\Auth\PasswordConfirmationTest.php", "PHP", 0, 32, 0, 0, 0, 0, 0, 0, 13, 45
"c:\xampp\htdocs\surtido_cf\tests\Feature\Auth\PasswordResetTest.php", "PHP", 0, 52, 0, 0, 0, 0, 0, 0, 22, 74
"c:\xampp\htdocs\surtido_cf\tests\Feature\Auth\PasswordUpdateTest.php", "PHP", 0, 41, 0, 0, 0, 0, 0, 0, 11, 52
"c:\xampp\htdocs\surtido_cf\tests\Feature\Auth\RegistrationTest.php", "PHP", 0, 24, 0, 0, 0, 0, 0, 0, 8, 32
"c:\xampp\htdocs\surtido_cf\tests\Feature\ExampleTest.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 4, 5, 20
"c:\xampp\htdocs\surtido_cf\tests\Feature\ProfileTest.php", "PHP", 0, 76, 0, 0, 0, 0, 0, 0, 24, 100
"c:\xampp\htdocs\surtido_cf\tests\TestCase.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 1, 4, 11
"c:\xampp\htdocs\surtido_cf\tests\Unit\ExampleTest.php", "PHP", 0, 10, 0, 0, 0, 0, 0, 3, 4, 17
"c:\xampp\htdocs\surtido_cf\vendor\spatie\ignition\resources\compiled\ignition.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\surtido_cf\vendor\spatie\ignition\resources\compiled\ignition.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\xampp\htdocs\surtido_cf\vite.config.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"Total", "-", 49, 2677, 64, 262, 10728, 31, 73, 758, 943, 15585
